,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,2021-01-01,39.0,36.0,43.0,,,,3.2,,1017.0,
1,2021-01-02,41.4,39.0,44.1,0.189,,191.1,11.6,,1011.8,
2,2021-01-03,42.1,37.0,46.0,0.209,,232.2,11.7,,1011.7,
3,2021-01-04,39.9,35.1,45.0,0.307,,142.4,4.5,,1009.3,
4,2021-01-05,39.2,36.0,43.0,0.0,,173.1,6.0,,1021.2,
5,2021-01-06,41.5,39.0,45.0,0.327,,121.2,4.2,,1019.4,
6,2021-01-07,38.1,32.0,41.0,0.091,,16.5,0.9,,1026.9,
7,2021-01-08,34.7,30.0,39.9,0.0,,1.8,1.3,,1025.3,
8,2021-01-09,36.3,30.9,39.9,0.0,,108.5,1.4,,1031.1,
9,2021-01-10,35.8,30.9,41.0,0.0,,20.3,1.2,,1027.6,
10,2021-01-11,39.0,36.0,44.1,0.039,,3.1,1.2,,1023.7,
11,2021-01-12,43.3,37.9,48.0,0.63,,148.7,6.5,,1013.0,
12,2021-01-13,43.2,33.1,53.1,0.217,,229.2,16.2,,1017.5,
13,2021-01-14,32.9,26.1,43.0,0.0,,10.4,0.9,,1035.6,
14,2021-01-15,31.1,26.2,37.2,0.0,,124.2,3.0,,1030.6,
15,2021-01-16,37.0,34.0,41.0,0.0,,122.3,1.1,,1031.5,
16,2021-01-17,36.7,36.0,37.9,0.063,,295.4,2.9,,1027.1,
17,2021-01-18,34.0,28.0,39.0,0.0,,348.1,1.6,,1033.2,
18,2021-01-19,30.7,25.0,37.0,0.0,,359.9,1.4,,1032.8,
19,2021-01-20,32.2,28.0,37.0,0.0,,2.7,0.3,,1022.1,
20,2021-01-21,31.5,27.0,37.0,0.0,,3.7,0.3,,1020.3,
21,2021-01-22,27.5,21.9,37.0,0.0,,350.4,0.6,,1018.6,
22,2021-01-23,24.4,19.0,30.9,0.0,,359.6,0.3,,1020.3,
23,2021-01-24,26.8,19.9,30.9,0.0,,4.2,0.3,,1011.5,
24,2021-01-25,28.9,26.1,32.0,0.024,,352.5,0.6,,1011.8,
25,2021-01-26,30.0,28.0,34.0,0.024,,16.0,2.0,,1010.0,
26,2021-01-27,33.4,28.0,37.9,0.102,,70.6,4.5,,1006.2,
27,2021-01-28,36.1,30.0,42.1,0.028,,2.2,0.6,,1008.7,
28,2021-01-29,34.0,32.0,37.0,0.055,,342.1,2.1,,1010.0,
29,2021-01-30,38.7,34.0,44.1,0.0,,143.4,2.1,,1017.9,
30,2021-01-31,42.8,39.0,46.9,0.071,,54.3,3.8,,1019.3,
31,2021-02-01,46.8,37.9,54.0,0.008,,104.0,3.6,,1012.0,
32,2021-02-02,43.5,33.1,51.1,0.035,,218.1,10.3,,1009.8,
33,2021-02-03,34.7,28.0,42.1,0.0,,215.9,3.2,,1017.4,
34,2021-02-04,36.1,32.0,41.0,0.043,,235.2,6.0,,1023.9,
35,2021-02-05,41.5,35.1,50.0,0.087,,237.5,6.3,,1015.3,
36,2021-02-06,39.2,32.0,46.9,0.075,,221.9,7.5,,1010.6,
37,2021-02-07,34.0,28.9,37.0,0.106,,315.6,2.8,,1011.8,
38,2021-02-08,29.5,27.0,33.1,0.0,,246.5,3.9,,1016.3,
39,2021-02-09,23.7,19.0,27.0,0.0,,109.5,3.2,,1021.6,
40,2021-02-10,25.0,19.0,30.9,0.0,,215.7,3.2,,1022.1,
41,2021-02-11,19.0,12.9,23.0,0.0,,53.9,11.6,,1025.7,
42,2021-02-12,16.2,12.0,21.0,0.0,,65.6,9.3,,1024.6,
43,2021-02-13,20.8,18.0,25.0,0.0,,73.2,11.6,,1017.9,
44,2021-02-14,21.2,18.0,24.1,0.051,,74.0,4.1,,1020.4,
45,2021-02-15,23.0,21.0,26.1,0.26,,344.7,1.7,,1008.6,
46,2021-02-16,25.0,21.9,27.0,0.024,,312.6,2.3,,1017.1,
47,2021-02-17,28.6,21.0,37.0,0.0,,199.7,4.2,,1024.7,
48,2021-02-18,24.3,15.1,33.1,0.126,,18.0,1.6,,1026.9,
49,2021-02-19,31.8,30.0,33.1,0.035,,259.8,4.0,,1020.0,
50,2021-02-20,31.5,30.0,33.1,0.0,,209.6,6.4,,1023.3,
51,2021-02-21,37.4,32.0,42.1,0.043,,230.0,10.1,,1025.1,
52,2021-02-22,42.6,37.4,46.4,0.071,,215.3,17.4,,1017.7,
53,2021-02-23,36.3,28.9,43.0,0.0,,218.9,7.6,,1020.4,
54,2021-02-24,31.5,24.1,39.0,0.0,,279.4,4.3,,1031.9,
55,2021-02-25,36.9,30.9,45.0,0.157,,217.2,12.4,,1017.6,
56,2021-02-26,37.8,34.0,44.1,0.0,,234.4,7.4,,1007.9,
57,2021-02-27,35.1,28.0,42.1,0.016,,213.2,5.0,,1017.8,
58,2021-02-28,38.5,32.0,45.0,0.0,,185.4,7.0,,1024.7,
59,2021-03-01,41.5,30.0,53.1,0.0,,139.3,3.9,,1020.6,
60,2021-03-02,44.4,37.0,55.9,0.0,,187.2,5.9,,1014.1,
61,2021-03-03,42.3,30.0,60.1,0.0,,125.4,2.4,,1011.3,
62,2021-03-04,43.9,30.0,61.0,0.0,,30.3,3.6,,1017.4,
63,2021-03-05,47.8,34.0,63.0,0.0,,39.3,5.8,,1015.0,
64,2021-03-06,42.4,37.0,51.1,0.0,,204.5,8.0,,1013.0,
65,2021-03-07,39.7,33.1,48.9,0.016,,171.2,7.7,,1018.7,
66,2021-03-08,36.3,28.0,48.0,0.0,,72.7,3.0,,1017.8,
67,2021-03-09,37.4,30.0,48.9,0.0,,26.2,2.5,,1016.8,
68,2021-03-10,36.0,26.1,48.0,0.0,,112.5,1.9,,1015.1,
69,2021-03-11,37.0,26.1,52.0,0.0,,340.7,2.7,,1022.5,
70,2021-03-12,39.4,27.0,54.0,0.0,,171.9,2.1,,1026.0,
71,2021-03-13,41.4,28.0,57.9,0.0,,57.4,1.4,,1023.7,
72,2021-03-14,,,,,,,,,,
73,2021-03-15,43.9,37.0,48.9,0.0,,203.6,5.1,,1013.8,
74,2021-03-16,41.0,28.9,54.0,0.0,,193.8,1.9,,1018.6,
75,2021-03-17,42.8,28.9,60.1,0.0,,15.6,1.3,,1018.0,
76,2021-03-18,51.1,35.1,64.9,0.0,,100.8,5.4,,1012.2,
77,2021-03-19,46.9,39.0,53.1,0.067,,199.1,7.8,,1015.4,
78,2021-03-20,43.2,35.1,52.0,0.012,,199.2,8.4,,1017.7,
79,2021-03-21,39.7,35.1,46.9,0.004,,217.3,9.4,,1021.0,
80,2021-03-22,37.9,32.0,46.9,0.335,,217.1,5.2,,1014.9,
81,2021-03-23,38.1,30.0,51.1,0.0,,218.1,3.2,,1024.0,
82,2021-03-24,39.6,37.0,42.1,0.177,,195.3,5.3,,1009.3,
83,2021-03-25,40.6,35.1,51.1,0.067,,215.8,2.1,,1008.7,
84,2021-03-26,43.0,32.0,53.1,0.0,,199.5,5.9,,1018.4,
85,2021-03-27,46.6,34.0,57.0,0.0,,189.4,5.5,,1024.4,
86,2021-03-28,47.5,35.8,56.3,0.02,,205.8,15.4,,1010.3,
87,2021-03-29,38.1,28.9,45.0,0.0,,276.6,9.9,,1018.1,
88,2021-03-30,38.7,28.0,50.0,0.0,,226.5,5.0,,1027.4,
89,2021-03-31,43.0,28.0,59.0,0.0,,24.5,2.8,,1028.7,
90,2021-04-01,48.6,33.1,66.0,0.0,,163.2,5.4,,1013.2,
91,2021-04-02,52.3,36.0,64.0,0.0,,301.6,6.0,,1014.0,
92,2021-04-03,50.7,37.9,64.0,0.0,,182.6,4.4,,1018.4,
